,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,3290773.0,,371338.0,444675.0,714890.0,146627.03,957511.0,246611.0,183879.0,687829.0,1283231.0,230469.0,534000.0,66818.0,120786.4,675337.0,217721.318,33446.59,44305.996,100835.97,47283.92,3085433.27,,,153402700.0,,,,,,,277189.0,,53998.0,5090785.0,857061.0,,,
2000-01-01,3550421.5,,401564.0,485275.0,744229.0,158346.72,973832.0,248229.0,196896.0,724150.0,1353234.0,245833.0,547660.0,74768.0,126442.3,866523.0,241840.677,38432.11,47165.82,103873.17,50653.22,3206519.36,,,180722100.0,620113.0,,,,,,292264.0,,59836.0,5903305.0,889402.0,,,
2001-01-01,3573349.7,,417895.0,484785.0,774316.0,158681.36,964408.0,266107.0,205529.0,740322.0,1350390.0,266085.0,575766.0,75573.0,131142.4,897573.0,243963.799,40451.01,49471.953,111793.28,53414.48,3305583.02,,,198563800.0,704841.0,,,,,,313410.0,,61669.0,6660393.0,968470.0,,,
2002-01-01,3436001.4,,423945.0,488775.0,788119.0,160566.74,967097.0,286784.0,208733.0,750249.0,1356710.0,287233.0,591825.0,77995.0,136245.0,877660.0,253562.883,44009.53,53978.877,112626.48,57591.53,3385352.17,,,219373000.0,853281.0,,,,,,328064.0,,65013.0,7356584.0,1030830.0,,,
2003-01-01,3533550.0,,447842.0,513674.0,803184.0,160168.28,986360.0,310166.0,213363.0,768751.0,1421428.0,304862.0,613063.0,78551.0,138303.3,899893.0,247450.838,48055.95,58265.009,114736.14,58005.61,3480367.25,,,242651600.0,967006.0,,,1571496.7,,,335300.0,,69346.0,8022852.0,1193227.0,,,
2004-01-01,3797701.5,,488023.0,543883.0,841688.0,163425.69,983231.0,333340.0,221580.0,829363.0,1490674.0,332795.0,630318.0,81495.0,145679.7,1003848.0,253800.996,53315.58,62916.684,118508.61,60973.9,3601584.67,,,254946700.0,1052241.0,,,1794379.4,,,358761.0,,75136.0,8893904.0,1230282.0,,,
2005-01-01,4237637.9,162798700.0,532671.0,581611.0,881866.0,169819.7,995446.0,363352.0,231996.0,891268.0,1585973.0,368278.0,644642.0,85096.0,152374.1,1139474.0,267226.828,58912.82,68939.291,123600.31,64425.15,3749211.5,,,280046300.0,1238840.0,,,1966513.2,,,399159.4,,78449.0,9385912.0,1292661.0,117859000.0,,
2006-01-01,4604834.4,168588800.0,560997.0,618078.0,932060.0,178502.69,1039469.0,393900.0,253438.0,922162.0,1660678.0,407149.0,685931.0,89977.0,159418.4,1310810.0,293458.097,67194.86,75438.723,128139.23,68275.32,3988164.27,,,306914200.0,1369766.0,,,2247286.0,,,437526.0,,85338.0,10248898.0,1388002.0,135043000.0,,
2007-01-01,4832558.2,170884700.0,594006.0,649413.0,969306.0,187562.13,1091269.0,415110.0,262935.0,949616.0,1747529.0,442491.0,733838.0,96675.0,167099.7,1383079.0,307160.882,70764.07,79666.92,135995.63,73025.21,4220745.04,,,348642300.0,1557401.0,,,2420209.5,,,487090.0,23927984.04,93921.0,11526759.0,1535863.0,151373000.0,,
2008-01-01,4775806.2,166475400.0,624528.0,659005.0,996839.0,201143.32,1122573.0,416916.0,282084.0,965312.0,1772445.0,409092.0,741382.0,101120.0,174745.9,1543730.0,305531.85,64662.71,79082.933,142118.25,74580.42,4299217.86,,,368679400.0,1798297.0,,,2987518.7,,,521502.0,24452223.56,98416.0,12252255.0,1572850.0,170748000.0,,
